occupation,count,category
PRODUCTION MANAGER,2,ADMIN
PRODUCTION SOUND,2,ADMIN
PRACTICE ASSISTANT,1,ADMIN
PRACTICE MANAGER,2,ADMIN
PR,1,ADMIN
PRE-EMPLOYMENT SPECIALIST,1,ADMIN
PRE-EMPLOYMENT TRANSITION SPECIALIST,1,ADMIN
POST PRODUCTION,1,ADMIN
PHOTOGRAPHER,2,ADMIN
PHILOSOPHY DEPARTMENT OFFICE ASSISTANT,1,ADMIN
PARALEGAL,1,ADMIN
LOBBYIST,2,ADMIN
LEGAL,1,ADMIN
LEGAL ASST.,1,ADMIN
LEGAL RESEARCHER,1,ADMIN
LAWYER,12,ADMIN
JOURNALIST/DOCUMENTARY FILMMAKER,1,ADMIN
IEA SPECIALIST,1,ADMIN
FACULTY AFFAIRS ASSISTANT,1,ADMIN
EVP DEVELOPMENT,1,ADMIN
DECANAL DIRECTOR,1,ADMIN
COORDINATOR,14,ADMIN
COORDINATOR OF LANGUAGE RESOURCE LAB,1,ADMIN
CREATIVE DIRECTOR,1,ADMIN
CONTACT TRACER FOR COVID-19,1,ADMIN
CABLE TV PRODUCER,1,ADMIN
BOX OFFICE STAFF,1,ADMIN
BC FOOD WEB MANAGER,1,ADMIN
BENEFITS SPECIALIST,1,ADMIN
ATTORNEY,17,ADMIN
ASST. DIRECTOR OF EDUCATIONAL FINANCIN,1,ADMIN
ASST. DIRECTOR OF PAYROLL,1,ADMIN
ASST DIRECTOR,1,ADMIN
ASSOCIATE DIRECTOR,11,ADMIN
ASSOCIATE DIRECTOR OF ADMISSIONS,1,ADMIN
ASSOCIATE DIRECTOR OF COMMUNICATIONS,1,ADMIN
ASSOCIATE DIRECTOR OF INFORMATICS AND,1,ADMIN
"ASSOCIATE DIRECTOR, CSSD",1,ADMIN
"ASSOCIATE DIRECTOR, GRADUATE LEGAL STU",1,ADMIN
ASSISTANT PROVOST,1,ADMIN
ASSISTANT TO THE CHAPLAIN,1,ADMIN
ASSOCIATE,2,ADMIN
ASSISTANT DIRECTOR,13,ADMIN
ASSISTANT DIRECTOR - BROADCAST AND MUL,1,ADMIN
ASSISTANT DIRECTOR OF ADMISSIONS OPERA,1,ADMIN
ASSISTANT DIRECTOR OF COMMUNICATIONS,1,ADMIN
ASSISTANT DIRECTOR OF MARKETING,2,ADMIN
ASSISTANT DIRECTOR OF STUDENT LIFE,1,ADMIN
"ASSISTANT DIRECTOR, ALUMNI RELATIONS",1,ADMIN
"ASSISTANT DIRECTOR, CLASS GIVING",1,ADMIN
"ASSISTANT DIRECTOR, FACULTY PROGRAMS A",1,ADMIN
"ASSISTANT DIRECTOR, HUMAN RESOURCES",1,ADMIN
"ASSISTANT DIRECTOR, MARKETING",1,ADMIN
ASSISTANT EVENT MANAGER,1,ADMIN
ASSISTANT FINANCE DIRECOT,1,ADMIN
ASSISTANCE DIRECTOR,1,ADMIN
ASSISTANT,5,ADMIN
ASSISTANT ACCOMMODATIONS MANAGER,1,ADMIN
ACAD DEPT LEAD SECRETARY,1,ADMIN
ACADEMIC AFFAIRS,1,ADMIN
ACADEMIC ATTORNEY,1,ADMIN
ACADEMIC COORDINATOR,1,ADMIN
ACADEMIC PROGRAM MANAGER,1,ADMIN
ACADEMIC SECRETARY,1,ADMIN
ACCOUNTANT,4,ADMIN
ACTING CHIEF OF STAFF,1,ADMIN
CHIEF OF STAFF,1,ADMIN
CHAPLAIN,1,ADMIN
ACADEMIA,2,ACADEMIA
ACADEMIC,12,ACADEMIA
ADJUNCT SENIOR RESEARCH SCHOLAR,1,ACADEMIA
ANTHROPOLOGIST,2,ACADEMIA
ANTHROPOLOGOIST,1,ACADEMIA
ART HANDLER,1,ACADEMIA
ART HISTORIAN,3,ACADEMIA
ASSOCIATE RESEARCH SCIENTIST,2,ACADEMIA
ASTRONOMER,3,ACADEMIA
ASTROPHYSICIST,1,ACADEMIA
BIBLIOGRAPHER ASSISTANT,2,ACADEMIA
BIBLIOGRAPHIC ASSISTANT,2,ACADEMIA
BIBLIOGRAPHIC ASSITANT,1,ACADEMIA
BILBLIOGRAPHIC ASSISTANT,1,ACADEMIA
BIOLOGIST,5,ACADEMIA
BIOMEDICAL RESEARCH,1,ACADEMIA
CHEMIST,2,ACADEMIA
CLIMATE SCIENTIST,3,ACADEMIA
DATA SCIENCE ENGINEER,1,ACADEMIA
DATA SCIENTIST,2,ACADEMIA
DATA SPECIALIST,1,ACADEMIA
DATA ANALYST,11,ACADEMIA
CYBER SECURITY ENGINEER,1,ACADEMIA
DISASTER RESEARCHER,1,ACADEMIA
ECONOMIST,5,ACADEMIA
EDUCATIONAL RESEARCH,1,ACADEMIA
EDUCATIONAL RESEARCHER,1,ACADEMIA
ENGINEER,4,ACADEMIA
ENVIRONMENTAL EPIGENETICIST,1,ACADEMIA
ENVIRONMENTAL SCIENTIST,2,ACADEMIA
GEOLOGIST,3,ACADEMIA
GIS ANALYST,1,ACADEMIA
HISTORIAN,1,ACADEMIA
HISTORIAN/RESEARCH SCHOLAR,1,ACADEMIA
INSTITUTIONAL RESEARCHER,1,ACADEMIA
INVESTMENT LAW RESEARCH,1,ACADEMIA
IRB SPECIALIST,2,ACADEMIA
LAB AIDE,1,ACADEMIA
LAB ASSISTANT,1,ACADEMIA
LAB MANAGER,5,ACADEMIA
LAB TECH,2,ACADEMIA
LAB TECHNICIAN,3,ACADEMIA
LABORATORY TECHNICIAN,2,ACADEMIA
LABORATORY TECHNOLOGY,1,ACADEMIA
LABORATORY WORKER,1,ACADEMIA
LIBRARIAN,35,ACADEMIA
LIBRARIAN ASSISTANT,2,ACADEMIA
LIBRARIAN CONTRACT WORKER,1,ACADEMIA
LIBRARY,1,ACADEMIA
LIBRARY ACCESS SUPERVISOR,1,ACADEMIA
LIBRARY ASSISTANT,8,ACADEMIA
LIBRARY ASSOCIATE,1,ACADEMIA
LIBRARY CIRCULATION ASSISTANT,1,ACADEMIA
LIBRARY DESK WORKER,1,ACADEMIA
LIBRARY WORKER,1,ACADEMIA
MATHEMATICIAN,2,ACADEMIA
MSC RESEARCH ASSISTANTSHIP,1,ACADEMIA
NUCLEAR PHARMACEUTICAL ENGINEER,1,ACADEMIA
OCEANOGRAPHER,1,ACADEMIA
OFFICER OF RESEARCH,1,ACADEMIA
ORAL HISTORIAN,1,ACADEMIA
PALEOCLIMALOGIST,1,ACADEMIA
PHYSICIST,6,ACADEMIA
POST DOC,3,ACADEMIA
POST-DOC,1,ACADEMIA
POST-DOCTORAL RESEARCH ASSISTANT,1,ACADEMIA
POST-DOCTORAL RESEARCH SCIENTIST,1,ACADEMIA
POST-DOCTORAL RESEARCHER,1,ACADEMIA
POSTDOC,13,ACADEMIA
POSTDOC RESEARCH SCIENTIST,1,ACADEMIA
POSTDOC RESEARCHER,1,ACADEMIA
POSTDOC SCIENTIST,1,ACADEMIA
POSTDOCTORAL FELLOW,10,ACADEMIA
POSTDOCTORAL RESEARCH FELLOW,4,ACADEMIA
POSTDOCTORAL RESEARCH SCHOLAR,2,ACADEMIA
POSTDOCTORAL RESEARCH SCIENTIST,6,ACADEMIA
POSTDOCTORAL RESEARCHER,10,ACADEMIA
POSTDOCTORAL RESEARCHER SCIENTIST,1,ACADEMIA
POSTDOCTORAL SCHOLAR,1,ACADEMIA
POSTDOCTORAL SCIENTIST,2,ACADEMIA
REAEARCHER,1,ACADEMIA
REFERENCE LIBRARIAN,1,ACADEMIA
RESEARCH,18,ACADEMIA
RESEARCH ANALYST,1,ACADEMIA
RESEARCH COMPLIANCE,1,ACADEMIA
RESEARCH CONSULTANT,1,ACADEMIA
RESEARCH COORDINATOR,11,ACADEMIA
RESEARCH EMPLOYEE,2,ACADEMIA
RESEARCH FARM MANAGER,1,ACADEMIA
RESEARCH FELLOW,5,ACADEMIA
RESEARCH MANAGER,3,ACADEMIA
RESEARCH PART-TIME,2,ACADEMIA
RESEARCH SCHOLAR,2,ACADEMIA
RESEARCH SCIENTIST,30,ACADEMIA
RESEARCH SCIENTIST AND LABORATORY MANA,1,ACADEMIA
RESEARCH STAFF,1,ACADEMIA
RESEARCH STAFF ASSISTANT,2,ACADEMIA
RESEARCH SYSTEMS ENGINEER,1,ACADEMIA
RESEARCH TECH,1,ACADEMIA
RESEARCH TECHNICIAN,8,ACADEMIA
RESEARCH WORKER,1,ACADEMIA
RESEARCHER,105,ACADEMIA
RETIRED LIBRARIAN,1,ACADEMIA
SCIENCE RESEARCH,1,ACADEMIA
SCIENTIFIC RESEARCH,1,ACADEMIA
SCIENTIST,96,ACADEMIA
SCIENTIST ACADEMIC,1,ACADEMIA
SCIENTIST-OCEANOGRAPHER,1,ACADEMIA
SCIENTISTS,1,ACADEMIA
SENIOR RESEARCH ANALYST,1,ACADEMIA
SENIOR RESEARCH SCHOLAR,2,ACADEMIA
SENIOR RESEARCH SCIENTIST,1,ACADEMIA
SENIOR RESEARCH STAFF ASSISTANT,1,ACADEMIA
SENIOR RESEARCH WORKER,1,ACADEMIA
SENIOR SCIENCE OFFICER,1,ACADEMIA
SR SCHOLAR,1,ACADEMIA
THEATER ARTS,1,ACADEMIA
THEATRE TECHNICIAN,1,ACADEMIA
URBAN AGRICULTURE RESEARCHER,1,ACADEMIA
URBAN PLANNER,1,ACADEMIA
IACUC ADMINISTER,1,ACADEMIA
EDUCATION RESEARCHER,1,ACADEMIA
CURATOR OF MEDIEVAL AND RENAISSANCE CO,1,ACADEMIA
ASSISTANT CURATOR,1,ACADEMIA
ACADEMIC RESEARCHER,2,ACADEMIA
ACADEMIC RESEARCHER/SCHOLAR,1,ACADEMIA
ACADEMICS,1,ACADEMIA
AUDIOLOGIST,2,MEDICAL
CANCER EPIDEMIOLOGIST,1,MEDICAL
CERTIFIED NURSE-MIDWIFE,1,MEDICAL
CHILD PSYCHIATRIST,1,MEDICAL
CLINICAL COORDINATOR,1,MEDICAL
CLINICAL PSYCHOLOGIST,2,MEDICAL
CLINICAL LAB SCIENTIST,1,MEDICAL
CLINICAL LAB TECH,1,MEDICAL
CLINICAL SOCIAL WORKER,1,MEDICAL
CLINICAL INSTRUCTOR,1,MEDICAL
CLINICAL RESEARCH,1,MEDICAL
CLINICAL RESEARCH AIDE,2,MEDICAL
CLINICAL RESEARCH COORDINATOR,9,MEDICAL
CLINICAL RESEARCH MANAGER,3,MEDICAL
DENTIST,1,MEDICAL
DIABETES RESEARCH,1,MEDICAL
DIETITIAN,1,MEDICAL
DOCTOR,23,MEDICAL
EMT,1,MEDICAL
EPIDEMIOLOGIST,7,MEDICAL
FAMILY PHYSICIAN,1,MEDICAL
GENETIC COUNSELOR,4,MEDICAL
HEALTH PHYSICIST,1,MEDICAL
HEALTH RESEARCH,1,MEDICAL
HEALTH RESEARCHER,1,MEDICAL
HOSPITAL ADMINISTRATION,2,MEDICAL
HOSPITAL BILLER/ASSISTANT,1,MEDICAL
LABORATORY VETERINARY TECHNICIAN,1,MEDICAL
MD,11,MEDICAL
"MD, COMPLIANCE SPECIALIST",1,MEDICAL
MEDICAL ADMIN,1,MEDICAL
MEDICAL BILLER,1,MEDICAL
MEDICAL COLLEGE ADMINISTRATOR,1,MEDICAL
MEDICAL DOCTOR,1,MEDICAL
MEDICAL RESEARCH,3,MEDICAL
MEDICAL RESEARCH SCIENTIST,1,MEDICAL
MEDICAL RESEARCHER,1,MEDICAL
MEDICAL SCHOOL ADMINISTRATOR,1,MEDICAL
MEDICAL SCIENTIST,2,MEDICAL
MEIDAI TECH,1,MEDICAL
MEMBER TECHNICAL STAFF,1,MEDICAL
MENTAL HEALTH COUNSELOR,1,MEDICAL
MIDWIFE,1,MEDICAL
NEUROLOGIST,4,MEDICAL
NEUROSCIENTIST,1,MEDICAL
NURSE,8,MEDICAL
NURSE ANESTHETIST,1,MEDICAL
NURSE PRACTITIONER,16,MEDICAL
NURSE PRACTITIONER IN PSYCHIATRY/FACUL,1,MEDICAL
NURSE PRACTITIONER/FACULTY,1,MEDICAL
NURSE PRACTITONER,1,MEDICAL
NURSING,1,MEDICAL
OCCUPATIONAL THERAPIST,2,MEDICAL
OPHTHALMIC TECH.,1,MEDICAL
OPHTHALMIC TECHNICIAN,1,MEDICAL
ORTHOPAEDIC SURGEON,5,MEDICAL
PARAMEDIC/SEXUAL VIOLENCE RESPONSE INT,1,MEDICAL
PATHOLOGIST,2,MEDICAL
PATHOLOGY TECHNICIAN,1,MEDICAL
PATIENT COORDINATOR,1,MEDICAL
PATIENT NAVIGATOR,2,MEDICAL
PEDIATRICIAN,4,MEDICAL
PERSONAL TRAINER,1,MEDICAL
PHYSICAL THERAPIST,2,MEDICAL
PHYSICAN,1,MEDICAL
PHYSICIAN,233,MEDICAL
PHYSICIAN (RETIRED),1,MEDICAL
PHYSICIAN ASSISTANT,3,MEDICAL
PHYSICIAN AT TRAINING,1,MEDICAL
PHYSICIAN PROGRAM DIRECTOR,1,MEDICAL
PHYSICIAN SCIENTIST,6,MEDICAL
PHYSICIAN/ CENTER DIRECTOR,1,MEDICAL
PHYSICIAN/ PROGRAM DIRECTOR,1,MEDICAL
PSYCHIATRIST,11,MEDICAL
PSYCHOLOGIST,23,MEDICAL
PSYCHOLOGY INTERN,1,MEDICAL
PT,2,MEDICAL
PUBLIC HEALTH,8,MEDICAL
PUBLIC HEALTH PHYSICIAN,1,MEDICAL
PUBLIC HEALTH PROFESSIONAL,1,MEDICAL
PUBLIC HEALTH PROGRAM OFFICER,1,MEDICAL
PUBLIC HEALTH RESEARCHER,3,MEDICAL
RADIATION ONCOLOGIST,1,MEDICAL
RADIATION THERAPIST,2,MEDICAL
RADIOLOGY,1,MEDICAL
REGISTERED NURSE,4,MEDICAL
RESEARCH NURSE PRACTITIONER,1,MEDICAL
RESEARCH PHYSICIAN,1,MEDICAL
RESIDENT PHYSICIAN,2,MEDICAL
RN,7,MEDICAL
SOCIAL WORKER,7,MEDICAL
SOCIOLOGIST,5,MEDICAL
SPEECH-LANGUAGE PATHOLOGIST,5,MEDICAL
SURGEON,5,MEDICAL
THERAPIST,2,MEDICAL
UNIVERSITY HEALTH CARE ADMINISTRATI,1,MEDICAL
UROLOGIST,1,MEDICAL
VASCULAR SURGEON,1,MEDICAL
VASCULAR TECHNOLOGIST,1,MEDICAL
VETERINARIAN,2,MEDICAL
VHO,1,MEDICAL
HEALTH PROMOTION ASSISTANT,1,MEDICAL
DVM,1,MEDICAL
ATTENDING ANESTHESIOLOGIST,1,MEDICAL
COLLEGE WORK-STUDY,1,UNDERGRADS
58 YR.OLD BA STUDENT,1,UNDERGRADS
DEVELOPER/STUDENT,1,UNDERGRADS
ENGINEER/STUDENT,1,UNDERGRADS
FEDERAL WORK STUDY,2,UNDERGRADS
MATH TUTOR/ STUDENT RESEARCHER,1,UNDERGRADS
"MUSICIAN, STUDENT, RESEARCHER, TEACHIN",1,UNDERGRADS
ON-CAMPUS WORK STUDY,1,UNDERGRADS
RESEARCH INTERN,1,UNDERGRADS
SJI INTERN,1,UNDERGRADS
SOFTWARE ENGINEERING INTERN,1,UNDERGRADS
STUDENT,215,UNDERGRADS
STUDENT / TUTOR,1,UNDERGRADS
STUDENT FEDERAL WORK STUDY,1,UNDERGRADS
STUDENT RESEARCHER,2,UNDERGRADS
STUDENT WORK STUDY,2,UNDERGRADS
STUDENT WORK-STUDY,1,UNDERGRADS
STUDENT WORKER,9,UNDERGRADS
STUDENT/RESEARCH ASSISTANT,1,UNDERGRADS
STUDENT/RESEARCHER,1,UNDERGRADS
STUDENT/TEACHING ASSISTANT,3,UNDERGRADS
STUDENT/WORK STUDY,2,UNDERGRADS
UNDERGRADUATE RESEARCH ASSISTANT,1,UNDERGRADS
UNDERGRADUATE TEACHING ASSISTANT,1,UNDERGRADS
WORK STUDY,6,UNDERGRADS
WORK STUDY STUDENT,1,UNDERGRADS
PRINTMAKING INTERN,1,UNDERGRADS
INTERN,6,UNDERGRADS
GYM ATTENDANT/STUDENT WORKER,1,UNDERGRADS
COLLEGE STUDENT,1,UNDERGRADS
"BOX OFFICE ASSISTANT, WORK STUDY",1,UNDERGRADS
ADMINISTRATIVE ASSISTANT (STUDENT WORK,1,UNDERGRADS
ADMINISTRATIVE ASSISTANT (WORK STUDY),1,UNDERGRADS
ADMINISTRATIVE ASSISTANT/STUDENT,1,UNDERGRADS
CHAIRS FELLOW (STUDENT ASSISTANT),1,UNDERGRADS
DENTAL STUDENT,1,GRAD
"DOCTORAL CANDIDATE, INSTRUCTOR",1,GRAD
DOCTORAL FELLOW,1,GRAD
DOCTORAL FELLOW & TEACHING ASSISTANT,1,GRAD
DOCTORAL RESEARCH ASSISTANT,1,GRAD
DOCTORAL RESEARCH COORDINATOR,1,GRAD
DOCTORAL RESEARCH FELLOW,3,GRAD
DOCTORAL STUDENT,10,GRAD
"DOCTORAL STUDENT, PSYCHOLOGY",1,GRAD
DOCTORAL STUDENTS,1,GRAD
ECONOMICS PHD CANDIDATE,1,GRAD
FELLOW & GRAD STUDENT,1,GRAD
FELLOW,1,GRAD
GRA,1,GRAD
GRAD RESEARCH ASSISTANT,1,GRAD
GRAD STUDENT,24,GRAD
GRAD STUDENT WORKER,1,GRAD
GRAD STUDENT/TEACHER,1,GRAD
GRADUATE ASSISTANT,12,GRAD
GRADUATE FELLOW,2,GRAD
GRADUATE PHD CANDIDATE,1,GRAD
GRADUATE RESEARCH ASSISTANT,27,GRAD
GRADUATE RESEARCH ASSOCIATE,1,GRAD
GRADUATE RESEARCHER,5,GRAD
GRADUATE STUDEDENT,1,GRAD
GRADUATE STUDENT,144,GRAD
GRADUATE STUDENT / TEACHING ASSISTANT,1,GRAD
GRADUATE STUDENT & WORKER,1,GRAD
GRADUATE STUDENT ASSISTANT,1,GRAD
GRADUATE STUDENT INSTRUCTOR,1,GRAD
GRADUATE STUDENT RESEARCH ASSISTANT,1,GRAD
GRADUATE STUDENT RESEARCHER,3,GRAD
GRADUATE STUDENT WORKER,12,GRAD
"GRADUATE STUDENT, CO-FOUNDER",1,GRAD
GRADUATE STUDENT/RESEARCH ASSISTANT/TE,1,GRAD
GRADUATE STUDENT/TA,1,GRAD
GRADUATE STUDENT/TEACHING ASSISTANT,1,GRAD
GRADUATE STUDENT/WORKER,2,GRAD
GRADUATE TEACHING ASSISTANT,7,GRAD
GRADUATE WORKER,7,GRAD
GRADUATE+STUDENT,1,GRAD
GRADUTE STUDENT,1,GRAD
GRAUDATE STUDENT,1,GRAD
INSTRUCTOR & STUDENT,1,GRAD
MASTER'S STUDENT,1,GRAD
MASTERS STUDENT,1,GRAD
MEDICAL STUDENT,4,GRAD
MEDICAL/GRADUATE STUDENT,1,GRAD
NEUROBIOLOGY AND BEHAVIOR PH.D. STUDEN,1,GRAD
PH.D CANDIDATE,1,GRAD
PH.D. CANDIDATE,2,GRAD
PH.D. STUDENT,1,GRAD
PHD,2,GRAD
PHD CANDIDATE,20,GRAD
PHD CANDIDATE/T.A.,1,GRAD
PHD CANDIDATE/TEACHING FELLOW,2,GRAD
PHD GRAD STUDENT,1,GRAD
PHD STUDENT,55,GRAD
PHD STUDENT / INSTRUCTOR,1,GRAD
PHD STUDENT + TEACHING FELLOW,1,GRAD
PHD STUDENT AND RESEARCH ASSISTANT,1,GRAD
PHD STUDENT/RESEARCH ASSISTANT,1,GRAD
PHD STUDENT/RESEARCHER,1,GRAD
PHYSICS GRADUATE RESEARCH ASSISTANT,1,GRAD
RESEARCH ASSISTAN/PHD STUDENT,1,GRAD
RESEARCH ASSISTANT,95,GRAD
RESEARCH ASSISTANT - FORESTRY MSC,1,GRAD
RESEARCH ASSISTANT (PART-TIME); STUDEN,1,GRAD
RESEARCH ASSITANT,1,GRAD
RESEARCH ASSOCIATE / GRADUATE STUDENT,1,GRAD
RESEARCH ASSOCIAE,1,GRAD
RESEARCH ASSOCIATE,4,GRAD
RESEARCH/TEACHER ASSISTANT,1,GRAD
TA,6,GRAD
TEACHER ASSISTANT,1,GRAD
TEACHER'S ASSISTANT,2,GRAD
TEACHERS ASSISTANT,1,GRAD
TEACHING ASSISTANT,53,GRAD
"TEACHING ASSISTANT, GRADUATE STUDENT",1,GRAD
"TEACHING ASSISTANT, WRITING CONSULTANT",1,GRAD
TEACHING ASSISTANT/STUDENT,1,GRAD
THEATERMAKER & DOCTORAL STUDENT IN PUB,1,GRAD
UNIVERSITY FELLOW,1,GRAD
PRE-DOCTORAL FELLOW,1,GRAD
PREDOCTORAL FELLOW,1,GRAD
ACADEMIC ADVISOR,13,OTHER
ADMISSIONS,2,OTHER
ADMISSIONS COORDINATOR,2,OTHER
ADMISSIONS COUNSELOR,3,OTHER
ADMISSIONS DIRECTOR,1,OTHER
ADMISSIONS OFFICER,5,OTHER
ADVISER,1,OTHER
ADVISOR,7,OTHER
ALCOHOL PROCTOR,1,OTHER
ANALYST,8,OTHER
ARCHITECT,3,OTHER
ARCHIVIST,4,OTHER
ART DIRECTOR,1,OTHER
ARTIST,1,OTHER
ARTS ADMIONISTRATOR,1,OTHER
ASSIST ENG.,1,OTHER
ATHLETICS,2,OTHER
CAREER ADVISOR,4,OTHER
CAREER COACH,2,OTHER
CAREER COUNSELOR,3,OTHER
CAREER PLACEMENT OFFICER,1,OTHER
CAREER PROFESSIONAL,1,OTHER
CAREER SPECIALIST,1,OTHER
CHAIRS FELLOW,1,OTHER
CLEANER,1,OTHER
COLLEGE ADMISSIONS,2,OTHER
COLLEGE ADMISSIONS COUNSELOR,1,OTHER
COLUMBIA UNIVERSITY,1,OTHER
CONTENT MANAGER,1,OTHER
COUNSELOR,2,OTHER
COURSE ASSOCIATE,1,OTHER
DESIGNER,2,OTHER
DISABILITY SERVICES,1,OTHER
DISABILITY SERVICES OFFICER,1,OTHER
EDU PD FACILITATOR,1,OTHER
EDUCATION ADVISER,1,OTHER
ELECTRICIAN,1,OTHER
ENROLLMENT COACH,2,OTHER
EXCHANGE STUDENT ADVISOR,1,OTHER
FACULTY STUDENT ASSISTANT,1,OTHER
FILM PROJECTIONIST,1,OTHER
FILMMAKER,3,OTHER
FINANCIAL AID,2,OTHER
FINANCIAL AID ADVISOR,1,OTHER
FOOD SECURITY CONSULTANT,1,OTHER
GRADUATE ADMISSION ADVISOR,1,OTHER
GROUP LEADER,1,OTHER
HEAD CLEANER,1,OTHER
HEAVY CLEANER,1,OTHER
HVAC MECHANIC,1,OTHER
HVAC TECNICIAN,1,OTHER
INDUSTRIAL HYGIENIST,1,OTHER
INFORMATICS,1,OTHER
INSTRUCTIONAL CONSULTANT,1,OTHER
INSTRUCTIONAL SUPPORT,1,OTHER
L&D MANAGER,1,OTHER
L&OD MANAGER,1,OTHER
LEARNING DESIGNER,1,OTHER
LEARNING SPECIALIST,1,OTHER
LIFEGUARD,2,OTHER
MACHINIST,1,OTHER
MAIL ASSISTANT,1,OTHER
MARINER,1,OTHER
PAINTER,1,OTHER
PART-TIME CASUAL,1,OTHER
PART-TIME OFFIIICER,1,OTHER
POET,1,OTHER
PORTER,3,OTHER
PRIVATE EMPLOYEE,1,OTHER
PROJECTIONIST,1,OTHER
PUBLISHER,2,OTHER
PUBLISHING,1,OTHER
RESIDENCE HALL DIRECTOR,1,OTHER
RETIRED,2,OTHER
SACRED MUSIC COORDINATOR,1,OTHER
SIMULATED PATEINT AT SHELDON LEARNING,1,OTHER
STUDENT STAFF,1,OTHER
STUDY PLAN CONDULTANT,1,OTHER
TAMER CENTER FOR SOCIAL ENTERPRISE,1,OTHER
TRADES,1,OTHER
TRAINEE,1,OTHER
UNDERGROUND LINEMAN,1,OTHER
WORKER BEE,1,OTHER